date,open,high,low,close
2014-09-04,1093.757,1099.98,1089.349,1099.221
2014-09-05,1101.144,1104.008,1093.757,1103.847
2014-09-09,1105.59,1109.772,1097.784,1108.987
2014-09-10,1107.134,1114.053,1100.979,1112.953
2014-09-11,1113.886,1125.34,1104.338,1109.982
2014-09-12,1109.369,1121.718,1106.74,1121.718
2014-09-15,1121.675,1132.788,1118.685,1131.532
2014-09-16,1131.984,1132.301,1089.439,1089.439
2014-09-17,1090.174,1096.062,1077.604,1096.062
2014-09-18,1094.052,1102.235,1090.569,1102.235
2014-09-19,1103.488,1114.457,1101.485,1113.349
2014-09-22,1112.501,1112.501,1095.808,1099.067
2014-09-23,1098.057,1112.53,1098.057,1112.53
2014-09-24,1110.845,1126.014,1108.029,1124.863
2014-09-25,1129.437,1138.268,1123.151,1126.7
2014-09-26,1125.154,1130.08,1122.098,1129.671
2014-09-29,1133.156,1141.676,1133.156,1140.83
2014-09-30,1142.975,1150.509,1141.064,1148.837
2014-10-08,1152.499,1163.555,1145.765,1163.555
2014-10-09,1165.556,1169.421,1151.064,1167.048
2014-10-10,1162.198,1165.948,1152.866,1159.074
2014-10-13,1154.258,1154.258,1138.239,1152.922
2014-10-14,1151.516,1159.983,1142.003,1148.777
2014-10-15,1147.747,1152.825,1137.511,1152.824
2014-10-16,1147.321,1157.952,1136.288,1136.288
2014-10-17,1134.072,1138.738,1105.698,1125.097
2014-10-20,1127.514,1142.042,1127.514,1142.042
2014-10-21,1142.608,1145.772,1132.071,1133.597
2014-10-22,1133.525,1137.254,1120.196,1120.527
2014-10-23,1118.233,1122.407,1100.855,1106.697
2014-10-24,1107.365,1115.915,1105.852,1109.83
2014-10-27,1106.928,1118.45,1101.269,1118.45
2014-10-28,1120.636,1142.556,1120.636,1142.556
2014-10-29,1145.412,1154.399,1142.255,1153.568
2014-10-30,1153.167,1158.579,1147.682,1150.555
2014-10-31,1151.358,1154.032,1136.967,1146.957
2014-11-03,1146.985,1154.114,1146.628,1154.104
2014-11-04,1154.019,1154.019,1141.004,1145.819
2014-11-05,1144.961,1146.375,1138.178,1143.412
2014-11-06,1143.149,1152.28,1138.559,1152.279
2014-11-07,1153.248,1156.78,1135.424,1140.238
2014-11-10,1141.545,1145.088,1134.055,1145.088
2014-11-11,1146.741,1147.326,1100.002,1107.204
